overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
1,1,MPR-A365B48FFB,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.24,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
2,2,MPR-31A12DD342,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.22,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
3,3,MPR-CD8CCBB7C4,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.19,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
4,4,MPR-53949EE9BF,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.16,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
5,5,MPR-EA9E744255,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.13,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
6,6,MPR-B7D379E2B1,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.11,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
7,7,MPR-08CC3FD566,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.08,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
8,8,MPR-5025D7DC9C,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.08,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
9,9,MPR-9FEECF7549,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.08,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
10,10,MPR-685F50F3C2,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.05,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
11,11,MPR-EB8FA9EF60,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.05,P2,Regenerasi alami terbantu,71.3,64,85,36,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
12,12,MPR-D64ED88F50,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,1.47,P1,Penanaman aktif,71.2,66,83,38,tinggi,Kebutuhan dan kelayakan relatif tinggi.,mangrove-priority-2016-2025-v0.1
13,13,MPR-15FA1476C5,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.85,P1,Penanaman aktif,71.2,65,84,37,tinggi,Kebutuhan dan kelayakan relatif tinggi.,mangrove-priority-2016-2025-v0.1
14,14,MPR-52E7451509,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.66,P1,Penanaman aktif,71.2,65,84,37,tinggi,Kebutuhan dan kelayakan relatif tinggi.,mangrove-priority-2016-2025-v0.1
15,15,MPR-CC6E1F679C,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.53,P1,Penanaman aktif,71.2,65,84,37,tinggi,Kebutuhan dan kelayakan relatif tinggi.,mangrove-priority-2016-2025-v0.1
16,16,MPR-25D58B89BF,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.3,P2,Regenerasi alami terbantu,71.2,64,85,37,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
17,17,MPR-9711136FEB,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.38,P2,Regenerasi alami terbantu,70.8,64,84,37,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
18,18,MPR-0B8C34B282,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,0.36,P2,Regenerasi alami terbantu,70.8,64,84,37,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
19,19,MPR-306FDACEAD,Paritsatuapi-Api,Bandar Laksamana,Bengkalis,1.18,P1,Penanaman aktif,70.7,65,83,38,tinggi,Kebutuhan dan kelayakan relatif tinggi.,mangrove-priority-2016-2025-v0.1
20,1,MPR-093F51F0D6,Tenggayun,Bandar Laksamana,Bengkalis,0.27,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
21,2,MPR-9DCCFFD1D0,Tenggayun,Bandar Laksamana,Bengkalis,0.265,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
22,3,MPR-5BA76E4324,Tenggayun,Bandar Laksamana,Bengkalis,0.21,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
23,4,MPR-2EF00DC305,Tenggayun,Bandar Laksamana,Bengkalis,0.19,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
24,5,MPR-53C030F3D3,Tenggayun,Bandar Laksamana,Bengkalis,0.18,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
25,6,MPR-63E4BD7208,Tenggayun,Bandar Laksamana,Bengkalis,0.18,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
26,7,MPR-A2ACF51197,Tenggayun,Bandar Laksamana,Bengkalis,0.18,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
27,8,MPR-AA5C0D6E39,Tenggayun,Bandar Laksamana,Bengkalis,0.16,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
28,9,MPR-81764142F4,Tenggayun,Bandar Laksamana,Bengkalis,0.14,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
29,10,MPR-C429DFE0F5,Tenggayun,Bandar Laksamana,Bengkalis,0.14,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
30,11,MPR-2BC2BE4A3A,Tenggayun,Bandar Laksamana,Bengkalis,0.11,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
31,12,MPR-ED06C3D043,Tenggayun,Bandar Laksamana,Bengkalis,0.107,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
32,13,MPR-76B3BC88D5,Tenggayun,Bandar Laksamana,Bengkalis,0.1,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
33,14,MPR-2355191A1C,Tenggayun,Bandar Laksamana,Bengkalis,0.092,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
34,15,MPR-99F8056613,Tenggayun,Bandar Laksamana,Bengkalis,0.092,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
35,16,MPR-5D691D6D6A,Tenggayun,Bandar Laksamana,Bengkalis,0.08,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
36,17,MPR-B8F6FC4BBD,Tenggayun,Bandar Laksamana,Bengkalis,0.05,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
37,18,MPR-D96CFDA66B,Tenggayun,Bandar Laksamana,Bengkalis,0.05,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
38,19,MPR-E29114E357,Tenggayun,Bandar Laksamana,Bengkalis,0.05,P2,Regenerasi alami terbantu,69.0,57,85,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
39,20,MPR-3AD77C65F9,Tenggayun,Bandar Laksamana,Bengkalis,0.84,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
40,21,MPR-FD44D21FE9,Tenggayun,Bandar Laksamana,Bengkalis,0.82,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
41,22,MPR-D4ED007F99,Tenggayun,Bandar Laksamana,Bengkalis,0.566,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
42,23,MPR-A1E16DBA2A,Tenggayun,Bandar Laksamana,Bengkalis,0.54,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
43,24,MPR-E69BAECCC8,Tenggayun,Bandar Laksamana,Bengkalis,0.499,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
44,25,MPR-7B8EBFA97E,Tenggayun,Bandar Laksamana,Bengkalis,0.484,P2,Regenerasi alami terbantu,68.9,58,84,33,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
