overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
1,1,MPR-BCAA11DE61,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.978,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
2,2,MPR-8495FF1810,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.96,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
3,3,MPR-C09B645C40,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.827,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
4,4,MPR-9B1F4CAD10,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.739,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
5,5,MPR-D95E35232C,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.727,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
6,6,MPR-9B9E5D3296,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.668,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
7,7,MPR-1AA80E9E46,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.638,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
8,8,MPR-C6CB249A81,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.604,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
9,9,MPR-D893459FFC,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.56,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
10,10,MPR-6494EEA45D,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.467,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
11,11,MPR-4BB30CCC7F,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.465,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
12,12,MPR-987DE307FF,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.438,P2,Regenerasi alami terbantu,71.8,63,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
13,13,MPR-622B093F98,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.318,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
14,14,MPR-D690AF8081,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.301,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
15,15,MPR-4CDBCF8B3A,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.3,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
16,16,MPR-A6B4A0E7C3,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.3,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
17,17,MPR-6C0F381854,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.28,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
18,18,MPR-9CAE523D4C,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.28,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
19,19,MPR-DAEED20D6B,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.26,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
20,20,MPR-98BA3146FB,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.231,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
21,21,MPR-D01D1238DB,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.2,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
22,22,MPR-386F3FADF2,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.188,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
23,23,MPR-3A05B7C692,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.184,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
24,24,MPR-2570CD711A,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.18,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
25,25,MPR-272FA42D86,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.18,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
26,26,MPR-417428A58E,Kelurahan Tanjung Palas,Dumai Timur,Kota Dumai,0.169,P2,Regenerasi alami terbantu,71.8,62,85,29,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
