overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
1,1,MPR-FF866691E7,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.25,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
2,2,MPR-08EE925B09,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.223,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
3,3,MPR-65E7A020D4,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.22,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
4,4,MPR-D93F3C053E,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.22,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
5,5,MPR-800B7FA520,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.218,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
6,6,MPR-41C37D9494,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.21,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
7,7,MPR-2F2AE7A9DA,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.207,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
8,8,MPR-30EEA85B31,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.2,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
9,9,MPR-8E2739AB95,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.2,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
10,10,MPR-CF1C687673,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.19,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
11,11,MPR-DE0E0291BC,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.19,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
12,12,MPR-0FF50525B7,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.171,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
13,13,MPR-3258AEDBDA,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.16,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
14,14,MPR-7F7B1D0077,Kelurahan Selatpanjang Kota,Tebing Tinggi,Kepulauan Meranti,0.16,P2,Regenerasi alami terbantu,71.6,61,85,28,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
