overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
1,1,MPR-84A8261C16,Teluk Bakau,Kuala Kampar,Pelalawan,0.329,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
2,2,MPR-13DD63D6A7,Teluk Bakau,Kuala Kampar,Pelalawan,0.3,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
3,3,MPR-85BC34AC23,Teluk Bakau,Kuala Kampar,Pelalawan,0.29,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
4,4,MPR-A745348F7D,Teluk Bakau,Kuala Kampar,Pelalawan,0.29,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
5,5,MPR-1671FE54D3,Teluk Bakau,Kuala Kampar,Pelalawan,0.28,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
6,6,MPR-06AA6A3898,Teluk Bakau,Kuala Kampar,Pelalawan,0.23,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
7,7,MPR-FE237EC656,Teluk Bakau,Kuala Kampar,Pelalawan,0.23,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
8,8,MPR-B83BAD6FBA,Teluk Bakau,Kuala Kampar,Pelalawan,0.22,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
9,9,MPR-D2A6A1D795,Teluk Bakau,Kuala Kampar,Pelalawan,0.22,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
10,10,MPR-B579BBAF90,Teluk Bakau,Kuala Kampar,Pelalawan,0.21,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
11,11,MPR-D420802617,Teluk Bakau,Kuala Kampar,Pelalawan,0.2,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
12,12,MPR-2C84379A94,Teluk Bakau,Kuala Kampar,Pelalawan,0.19,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
13,13,MPR-C7413AD2A0,Teluk Bakau,Kuala Kampar,Pelalawan,0.18,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
14,14,MPR-190FFBBB6C,Teluk Bakau,Kuala Kampar,Pelalawan,0.17,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
15,15,MPR-B489759684,Teluk Bakau,Kuala Kampar,Pelalawan,0.17,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
16,16,MPR-4FA44CF19B,Teluk Bakau,Kuala Kampar,Pelalawan,0.16,P2,Regenerasi alami terbantu,69.7,59,85,33,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
