overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
1,1,MPR-5FAC9ECDBB,Penampi,Bengkalis,Bengkalis,0.76,P2,Regenerasi alami terbantu,69.8,59,84,31,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
2,2,MPR-1FCF2BC584,Penampi,Bengkalis,Bengkalis,0.64,P2,Regenerasi alami terbantu,69.8,59,84,31,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
3,3,MPR-D6875A1AB2,Penampi,Bengkalis,Bengkalis,0.32,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
4,4,MPR-5FFD9492E7,Penampi,Bengkalis,Bengkalis,0.23,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
5,5,MPR-7E26993EA2,Penampi,Bengkalis,Bengkalis,0.22,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
6,6,MPR-98E0153D6D,Penampi,Bengkalis,Bengkalis,0.2,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
7,7,MPR-C9FA0A5BA3,Penampi,Bengkalis,Bengkalis,0.2,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
8,8,MPR-480387D65F,Penampi,Bengkalis,Bengkalis,0.17,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
9,9,MPR-7AC842F4F4,Penampi,Bengkalis,Bengkalis,0.17,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
10,10,MPR-7F0682C9A4,Penampi,Bengkalis,Bengkalis,0.17,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
11,11,MPR-5357443724,Penampi,Bengkalis,Bengkalis,0.16,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
12,12,MPR-E675B1C05D,Penampi,Bengkalis,Bengkalis,0.15,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
13,13,MPR-5A212BB98E,Penampi,Bengkalis,Bengkalis,0.1,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
14,14,MPR-61B4490FE9,Penampi,Bengkalis,Bengkalis,0.1,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
15,15,MPR-D08152E88F,Penampi,Bengkalis,Bengkalis,0.1,P2,Regenerasi alami terbantu,69.8,58,85,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
16,16,MPR-E4C017C1A6,Penampi,Bengkalis,Bengkalis,1.69,P2,Regenerasi alami terbantu,69.7,60,83,32,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
17,17,MPR-C0801DAD65,Penampi,Bengkalis,Bengkalis,0.41,P2,Regenerasi alami terbantu,69.5,58,84,30,tinggi,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
