overallRank,villageRank,polygonId,village,district,regency,areaHa,priorityClass,priorityLabel,priorityScore,needScore,suitabilityScore,riskScore,confidence,decisionReason,methodVersion
1,1,MPR-EFB32DCCB1,Tanjung Kuras,Sungai Apit,Siak,0.89,P2,Regenerasi alami terbantu,69.0,58,83,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
2,2,MPR-DDE2089FE8,Tanjung Kuras,Sungai Apit,Siak,0.45,P2,Regenerasi alami terbantu,69.0,58,83,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
3,3,MPR-F3114188DE,Tanjung Kuras,Sungai Apit,Siak,0.43,P2,Regenerasi alami terbantu,69.0,58,83,31,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
4,4,MPR-F3745E826B,Tanjung Kuras,Sungai Apit,Siak,0.21,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
5,5,MPR-A9C5B1A951,Tanjung Kuras,Sungai Apit,Siak,0.196,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
6,6,MPR-E17120D25E,Tanjung Kuras,Sungai Apit,Siak,0.19,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
7,7,MPR-BADEEEF6D2,Tanjung Kuras,Sungai Apit,Siak,0.18,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
8,8,MPR-9E0C737D60,Tanjung Kuras,Sungai Apit,Siak,0.171,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
9,9,MPR-62239660AD,Tanjung Kuras,Sungai Apit,Siak,0.17,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
10,10,MPR-AE880825B7,Tanjung Kuras,Sungai Apit,Siak,0.17,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
11,11,MPR-6933018380,Tanjung Kuras,Sungai Apit,Siak,0.16,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
12,12,MPR-455C9E739C,Tanjung Kuras,Sungai Apit,Siak,0.12,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
13,13,MPR-EA7E631789,Tanjung Kuras,Sungai Apit,Siak,0.12,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
14,14,MPR-07209C5CAB,Tanjung Kuras,Sungai Apit,Siak,0.119,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
15,15,MPR-BDE3C0F8F0,Tanjung Kuras,Sungai Apit,Siak,0.11,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
16,16,MPR-CD84348A60,Tanjung Kuras,Sungai Apit,Siak,0.11,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
17,17,MPR-FCDC592D6D,Tanjung Kuras,Sungai Apit,Siak,0.11,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
18,18,MPR-2CCCF26770,Tanjung Kuras,Sungai Apit,Siak,0.1,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
19,19,MPR-736B58CA01,Tanjung Kuras,Sungai Apit,Siak,0.1,P2,Regenerasi alami terbantu,69.0,57,84,30,sedang,Kondisi biofisik relatif mendukung pemulihan vegetasi.,mangrove-priority-2016-2025-v0.1
